location,date,zika_confirmed,density_per_km,location_type,country,latitude,longitude,mosquito_dist,max_temp,mean_temp,min_temp,dew_point,precipitation,wind,gdp
Colombia-Antioquia-La_Estrella,2016-01-23,1,2162.5107421875,city,Colombia,6.138751,-75.635586,5.121953000001998,86.0,75.0,63.0,56.0,0.0,4.0,280.0
Colombia-Antioquia-La_Pintada,2016-02-06,1,174.8401336669922,city,Colombia,5.746942,-75.606403,5.477956142727997,23.0,18.0,13.0,13.0,0.0,5.0,280.0
Colombia-Antioquia-La_Union,2016-01-16,1,392.4222412109375,city,Colombia,4.5334899,-76.10361600000002,8.223203648804022,54.5,46.5,38.0,34.5,0.0,4.5,280.0
Colombia-Antioquia-Liborina,2016-01-23,1,61.18115997314453,city,Colombia,6.6774499999999986,-75.81174399999998,5.6350110049999955,86.0,75.0,63.0,56.0,0.0,4.0,280.0
Colombia-Antioquia-Maceo,2016-01-09,1,26.10224914550781,city,Colombia,6.551367,-74.78729399999999,5.410881577377998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Marinilla,2016-06-11,1,554.3917236328125,city,Colombia,6.1769669999999985,-75.34146199999999,5.120097078177998,23.0,18.0,13.0,13.0,15.75,5.0,280.0
Colombia-Antioquia-Medellin,2016-01-09,1,8364.98046875,city,Colombia,6.244203,-75.5812119,5.131012170417998,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Montebello,2016-05-28,1,137.88009643554688,city,Colombia,5.9464869999999985,-75.52395,5.219916122337999,74.0,65.0,56.0,57.0,1.61,4.0,280.0
Colombia-Antioquia-Murindo,2016-03-26,1,3.732408285140991,city,Colombia,6.981039999999999,-76.82119,6.435571763199996,32.0,28.0,25.0,24.0,11.43,12.0,280.0
Colombia-Antioquia-Mutata,2016-01-09,1,18.64676284790039,city,Colombia,7.244105999999999,-76.43656700000003,7.427407398471992,91.0,84.0,77.0,74.0,0.0,7.0,280.0
Colombia-Antioquia-Narino,2016-01-30,1,118.5054931640625,city,Colombia,1.289151,-77.35794000000001,38.637966581602,81.0,69.0,57.0,58.0,0.0,5.0,280.0
Colombia-Antioquia-Nechi,2016-02-06,1,31.36363983154297,city,Colombia,8.088419,-74.776327,8.821615279122,86.46,82.08,78.47,71.54,0.0,8.0,280.0
Colombia-Antioquia-Necocli,2016-01-23,1,53.03141784667969,city,Colombia,8.427173999999999,-76.787678,9.089633492552,89.0,82.0,76.0,73.0,0.0,9.0,280.0
Colombia-Antioquia-Olaya,2016-02-06,1,53.7917366027832,city,Colombia,6.6299899999999985,-75.81665,5.543181600199995,30.0,24.0,19.0,14.0,0.0,10.0,280.0
Colombia-Antioquia-Peque,2016-02-27,1,30.66445541381836,city,Colombia,7.021535000000001,-75.908107,6.570223712450002,83.0,74.0,65.0,61.0,0.04,5.0,280.0
Colombia-Antioquia-Pueblorrico,2016-01-09,0,152.389892578125,city,Colombia,5.794161,-75.84058900000001,5.402509907841997,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Puerto_Berrio,2016-01-09,1,41.3391227722168,city,Colombia,6.477754999999998,-74.4088,5.309426280049996,90.0,83.0,75.0,76.0,0.08,2.0,280.0
Colombia-Antioquia-Puerto_Nare,2016-01-09,1,43.09421920776367,city,Colombia,6.186497,-74.583726,5.120544302017998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Puerto_Triunfo,2016-01-09,1,64.41947174072266,city,Colombia,5.8807,-74.634036,5.287388979999998,78.52000000000001,70.69,62.53,64.03,1.3347,3.82,280.0
Colombia-Antioquia-Remedios,2016-02-27,1,15.855560302734375,city,Colombia,7.027766000000001,-74.692965,6.591525021512,84.04,76.38,69.06,70.06,1.2194,5.64,280.0
Colombia-Antioquia-Retiro,2016-01-09,0,89.2931137084961,city,Colombia,6.060955,-75.50258199999998,5.143781624049998,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Rionegro,2016-01-09,1,704.0064697265625,city,Colombia,6.144837,-75.375085,5.121266353137997,73.0,65.0,56.0,58.0,1.45,2.0,280.0
Colombia-Antioquia-Sabanalarga,2016-01-09,1,43.34637451171875,city,Colombia,6.849885400000001,-75.81741760000001,6.04448831426632,84.0,75.0,65.0,61.0,0.0,4.0,280.0
Colombia-Antioquia-Sabaneta,2016-01-23,1,7823.7890625,city,Colombia,6.1505589999999986,-75.61681999999998,5.120755904961998,86.0,75.0,63.0,56.0,0.0,4.0,280.0
Colombia-Antioquia-Salgar,2016-01-16,1,85.59178161621094,city,Colombia,5.963336,-75.963942,5.205420017791997,85.0,75.0,64.0,57.0,0.0,5.0,280.0
Colombia-Antioquia-San_Andres_De_Cuerquia,2016-01-09,1,46.73814392089844,city,Colombia,6.913245,-75.67555999999998,6.224826260049997,84.0,75.0,65.0,61.0,0.0,4.0,280.0
